Years,Annual,type
1988,NA,Barley
1989,97451893,Barley
1990,87991942,Barley
1991,102795803,Barley
1992,92246636,Barley
1993,75472764,Barley
1994,76156594,Barley
1995,73902994,Barley
1996,41345693,Barley
1997,84436187,Barley
1998,38825151,Barley
1999,36387253,Barley
2000,66612774,Barley
2001,33217905,Barley
2002,36050793,Barley
2003,26413335,Barley
2004,38373874,Barley
2005,47789614,Barley
2006,38253481,Barley
2007,71762820,Barley
2008,43604733,Barley
2009,31568677,Barley
2010,31630140,Barley
2011,29918232,Barley
2012,32532176,Barley
2013,38996818,Barley
2014,39963058,Barley
2015,33286073,Barley
2016,32872380,Barley
2017,34610296,Barley
2018,33594566,Barley
2019,29062350,Barley
2020,38052477,Barley
2021,30780069,Barley
2022,22389332,Barley
2023,17519560,Barley
1988,NA,Corn
1989,56553000,Corn
1990,53264000,Corn
1991,1071277000,Corn
1992,1695280000,Corn
1993,1369954000,Corn
1994,2218508000,Corn
1995,2275577000,Corn
1996,1861899000,Corn
1997,1567877000,Corn
1998,2050359000,Corn
1999,2004955000,Corn
2000,2005577000,Corn
2001,2006462000,Corn
2002,1749553000,Corn
2003,2065902000,Corn
2004,2022144000,Corn
2005,2391236000,Corn
2006,2403795000,Corn
2007,2597865000,Corn
2008,1966091000,Corn
2009,2138169000,Corn
2010,2015701000,Corn
2011,1723774000,Corn
2012,899228000,Corn
2013,2073754000,Corn
2014,2014203000,Corn
2015,2034398000,Corn
2016,2433746000,Corn
2017,2575413000,Corn
2018,2202724000,Corn
2019,1905417000,Corn
2020,2872986000,Corn
2021,2602532000,Corn
2022,1792262000,Corn
2023,793120000,Corn
1988,NA,Oat
1989,1525871,Oat
1990,5075245,Oat
1991,3725804,Oat
1992,7882579,Oat
1993,5053289,Oat
1994,3381737,Oat
1995,4136096,Oat
1996,4374098,Oat
1997,4679297,Oat
1998,4302976,Oat
1999,4163247,Oat
2000,6440824,Oat
2001,6000523,Oat
2002,5536959,Oat
2003,5370255,Oat
2004,6047085,Oat
2005,4958320,Oat
2006,4525667,Oat
2007,5135048,Oat
2008,5297037,Oat
2009,6004280,Oat
2010,4771895,Oat
2011,4434039,Oat
2012,3892330,Oat
2013,4778350,Oat
2014,4793240,Oat
2015,4390081,Oat
2016,5220077,Oat
2017,3867964,Oat
2018,2975251,Oat
2019,3456411,Oat
2020,4893397,Oat
2021,5722139,Oat
2022,4789820,Oat
2023,2886372,Oat
1988,NA,Sorghum
1989,307069000,Sorghum
1990,232802000,Sorghum
1991,291434000,Sorghum
1992,277100000,Sorghum
1993,201568000,Sorghum
1994,222689000,Sorghum
1995,197822000,Sorghum
1996,205374000,Sorghum
1997,212084000,Sorghum
1998,196690000,Sorghum
1999,255261000,Sorghum
2000,236582000,Sorghum
2001,241815000,Sorghum
2002,184299000,Sorghum
2003,198773000,Sorghum
2004,184043000,Sorghum
2005,194314000,Sorghum
2006,152589000,Sorghum
2007,276740000,Sorghum
2008,142988000,Sorghum
2009,164133000,Sorghum
2010,151554000,Sorghum
2011,63410000,Sorghum
2012,76296000,Sorghum
2013,210982000,Sorghum
2014,351749000,Sorghum
2015,341845000,Sorghum
2016,237797000,Sorghum
2017,200354000,Sorghum
2018,91633000,Sorghum
2019,203219000,Sorghum
2020,278923000,Sorghum
2021,295839000,Sorghum
2022,109075000,Sorghum
2023,106248000,Sorghum
