startingYear,productionMillionBushels,yieldBushelsAcre,type
1866,18.1,24,Barley
1867,23.85,22.5,Barley
1868,23.2,21.8,Barley
1869,29.1,23.5,Barley
1870,29.05,21.8,Barley
1871,27.69,20.5,Barley
1872,32.01,22.5,Barley
1873,30.54,20.7,Barley
1874,36.13,22.2,Barley
1875,32.81,19.3,Barley
1876,40.71,20.6,Barley
1877,39.17,20,Barley
1878,37.45,20.3,Barley
1879,42.37,22,Barley
1880,45.26,22.7,Barley
1881,48.98,22.3,Barley
1882,60.07,24.7,Barley
1883,57.13,23.1,Barley
1884,67.92,25.2,Barley
1885,63.96,22.3,Barley
1886,73.5,24.3,Barley
1887,72.4,22.2,Barley
1888,75.98,23.1,Barley
1889,80.79,24.1,Barley
1890,69.88,21.5,Barley
1891,94.16,26.2,Barley
1892,95.17,24.7,Barley
1893,87.11,23.6,Barley
1894,74.21,20.4,Barley
1895,104.48,25,Barley
1896,97.48,23.6,Barley
1897,102.58,24.9,Barley
1898,98.17,23.9,Barley
1899,118.16,26.4,Barley
1900,96.59,20.5,Barley
1901,123.8,24.9,Barley
1902,146.21,26.7,Barley
1903,149.34,24,Barley
1904,166.1,25.2,Barley
1905,171.64,25.8,Barley
1906,179.15,26.6,Barley
1907,150.58,22,Barley
1908,170.78,23.1,Barley
1909,173.07,22.5,Barley
1910,142.42,18.9,Barley
1911,145.07,19.1,Barley
1912,196.93,26.1,Barley
1913,158.82,20.7,Barley
1914,177.71,23.2,Barley
1915,206.98,28.4,Barley
1916,159.16,20.9,Barley
1917,182.21,21.6,Barley
1918,225.07,24.5,Barley
1919,131.09,19.9,Barley
1920,171.04,23,Barley
1921,132.7,18.8,Barley
1922,152.91,23.2,Barley
1923,158.99,22.2,Barley
1924,165.32,23.5,Barley
1925,192.47,23.5,Barley
1926,166.03,21,Barley
1927,239.07,25.3,Barley
1928,328.35,25.8,Barley
1929,280.64,20.7,Barley
1930,301.62,23.9,Barley
1931,200.28,17.9,Barley
1932,299.39,22.7,Barley
1933,152.84,15.9,Barley
1934,117.39,17.8,Barley
1935,288.67,23.2,Barley
1936,147.74,17.7,Barley
1937,221.89,22.3,Barley
1938,256.62,24.2,Barley
1939,278.19,21.8,Barley
1940,311.28,23,Barley
1941,362.57,25.4,Barley
1942,429.45,25.3,Barley
1943,322.91,21.7,Barley
1944,276.28,22.5,Barley
1945,266.99,25.5,Barley
1946,265.06,25.5,Barley
1947,281.87,25.7,Barley
1948,315.54,26.5,Barley
1949,237.07,24,Barley
1950,303.77,27.2,Barley
1951,257.21,27.3,Barley
1952,228.17,27.7,Barley
1953,246.72,28.4,Barley
1954,379.25,28.4,Barley
1955,403.07,27.8,Barley
1956,376.66,29.3,Barley
1957,442.76,29.8,Barley
1958,477.37,32.3,Barley
1959,420.2,28.3,Barley
1960,429.01,31,Barley
1961,392.44,30.6,Barley
1962,427.73,35,Barley
1963,392.83,35,Barley
1964,386.06,37.6,Barley
1965,393.06,42.9,Barley
1966,392.11,38.3,Barley
1967,373.75,40.5,Barley
1968,426.15,43.8,Barley
1969,427.06,44.7,Barley
