Years,Annual,type
1988,NA,Barley
1989,14441323,Barley
1990,15416566,Barley
1991,26190304,Barley
1992,12882662,Barley
1993,75375433,Barley
1994,70297726,Barley
1995,45183600,Barley
1996,40827611,Barley
1997,44202746,Barley
1998,34023580,Barley
1999,35204035,Barley
2000,38250702,Barley
2001,33716441,Barley
2002,33726803,Barley
2003,31687544,Barley
2004,24133362,Barley
2005,18579550,Barley
2006,29431326,Barley
2007,54281764,Barley
2008,51752934,Barley
2009,37661301,Barley
2010,31322817,Barley
2011,39079685,Barley
2012,45818006,Barley
2013,42314448,Barley
2014,50607740,Barley
2015,46099306,Barley
2016,37735065,Barley
2017,38277873,Barley
2018,34721735,Barley
2019,34020275,Barley
2020,31664048,Barley
2021,43282590,Barley
2022,46933560,Barley
2023,26521877,Barley
1988,NA,Corn
1989,15502175,Corn
1990,16527632,Corn
1991,34447891,Corn
1992,22970116,Corn
1993,35940585,Corn
1994,20363070,Corn
1995,29339907,Corn
1996,27928181,Corn
1997,24118217,Corn
1998,33183263,Corn
1999,30169252,Corn
2000,23837957,Corn
2001,28496831,Corn
2002,35313152,Corn
2003,38260138,Corn
2004,35285890,Corn
2005,33883764,Corn
2006,36989357,Corn
2007,47689769,Corn
2008,39983981,Corn
2009,33874580,Corn
2010,54496968,Corn
2011,57171632,Corn
2012,191900495,Corn
2013,68524232,Corn
2014,69598902,Corn
2015,105466621,Corn
2016,95582866,Corn
2017,85373899,Corn
2018,85704415,Corn
2019,94576934,Corn
2020,80077661,Corn
2021,85067758,Corn
2022,84982840,Corn
2023,28231108,Corn
1988,NA,Oat
1989,68954009,Oat
1990,64791911,Oat
1991,76013381,Oat
1992,57420764,Oat
1993,111047209,Oat
1994,99702684,Oat
1995,85951042,Oat
1996,105370776,Oat
1997,106458858,Oat
1998,116926258,Oat
1999,107828016,Oat
2000,117766938,Oat
2001,112037318,Oat
2002,112726723,Oat
2003,108080159,Oat
2004,111348754,Oat
2005,115392160,Oat
2006,131102577,Oat
2007,147333071,Oat
2008,139395293,Oat
2009,121393733,Oat
2010,113606111,Oat
2011,123223376,Oat
2012,123048405,Oat
2013,128594958,Oat
2014,141854380,Oat
2015,121083809,Oat
2016,125209032,Oat
2017,126960151,Oat
2018,125951360,Oat
2019,133902222,Oat
2020,134021034,Oat
2021,136038716,Oat
2022,139267489,Oat
2023,85401549,Oat
1988,NA,Sorghum
1989,225713,Sorghum
1990,68249,Sorghum
1991,7262,Sorghum
1992,12410,Sorghum
1993,7769,Sorghum
1994,7363,Sorghum
1995,14304,Sorghum
1996,34210,Sorghum
1997,10668,Sorghum
1998,13325,Sorghum
1999,3163,Sorghum
2000,1909,Sorghum
2001,182,Sorghum
2002,22432,Sorghum
2003,847,Sorghum
2004,25045,Sorghum
2005,2312,Sorghum
2006,75732,Sorghum
2007,38662,Sorghum
2008,132428,Sorghum
2009,5391,Sorghum
2010,29716,Sorghum
2011,105390,Sorghum
2012,9572538,Sorghum
2013,89675,Sorghum
2014,375971,Sorghum
2015,4587407,Sorghum
2016,1740576,Sorghum
2017,2017609,Sorghum
2018,39088,Sorghum
2019,49861,Sorghum
2020,29450,Sorghum
2021,12748,Sorghum
2022,8390,Sorghum
2023,3452,Sorghum
