Commodity and marketing year 1/,Years,"Planted acreage
Million acres","Harvested for grain
Million acres","Production
Million bushels","Yield per harvested acre
Bushels per acre","Weighted-average farm price
Million bushels 2/","Loan rate
dollars per bushel",
Barley,1866/67,,0.75,18.10,24.00,0.95,,
,1867/68,,1.06,23.85,22.50,1.22,,
,1868/69,,1.06,23.20,21.80,1.49,,
,1869/70,,1.24,29.10,23.50,0.87,,
,1870/71,,1.33,29.05,21.80,0.85,,
,1871/72,,1.35,27.69,20.50,0.77,,
,1872/73,,1.42,32.01,22.50,0.74,,
,1873/74,,1.47,30.54,20.70,0.96,,
,1874/75,,1.63,36.13,22.20,0.96,,
,1875/76,,1.70,32.81,19.30,0.86,,
,1876/77,,1.97,40.71,20.60,0.69,,
,1877/78,,1.96,39.17,20.00,0.63,,
,1878/79,,1.85,37.45,20.30,0.58,,
,1879/80,,1.93,42.37,22.00,0.60,,
,1880/81,,1.99,45.26,22.70,0.66,,
,1881/82,,2.20,48.98,22.30,0.82,,
,1882/83,,2.43,60.07,24.70,0.63,,
,1883/84,,2.47,57.13,23.10,0.59,,
,1884/85,,2.69,67.92,25.20,0.48,,
,1885/86,,2.86,63.96,22.30,0.56,,
,1886/87,,3.03,73.50,24.30,0.53,,
,1887/88,,3.26,72.40,22.20,0.52,,
,1888/89,,3.28,75.98,23.10,0.59,,
,1889/90,,3.35,80.79,24.10,0.42,,
,1890/91,,3.25,69.88,21.50,0.62,,
,1891/92,,3.59,94.16,26.20,0.52,,
,1892/93,,3.86,95.17,24.70,0.47,,
,1893/94,,3.69,87.11,23.60,0.40,,
,1894/95,,3.64,74.21,20.40,0.44,,
,1895/96,,4.19,104.48,25.00,0.33,,
,1896/97,,4.13,97.48,23.60,0.30,,
,1897/98,,4.12,102.58,24.90,0.34,,
,1898/99,,4.11,98.17,23.90,0.39,,
,1899/00,,4.47,118.16,26.40,0.39,,
,1900/01,,4.70,96.59,20.50,0.41,,
,1901/02,,4.96,123.80,24.90,0.45,,
,1902/03,,5.47,146.21,26.70,0.45,,
,1903/04,,6.23,149.34,24.00,0.45,,
,1904/05,,6.58,166.10,25.20,0.41,,
,1905/06,,6.66,171.64,25.80,0.39,,
,1906/07,,6.74,179.15,26.60,0.42,,
,1907/08,,6.85,150.58,22.00,0.67,,
,1908/09,,7.41,170.78,23.10,0.57,,
,1909/10,,7.70,173.07,22.50,0.57,,
,1910/11,,7.55,142.42,18.90,0.60,,
,1911/12,,7.61,145.07,19.10,0.81,,
,1912/13,,7.54,196.93,26.10,0.51,,
,1913/14,,7.67,158.82,20.70,0.53,,
,1914/15,,7.65,177.71,23.20,0.53,,
,1915/16,,7.28,206.98,28.40,0.51,,
,1916/17,,7.62,159.16,20.90,0.79,,
,1917/18,,8.45,182.21,21.60,1.22,,
,1918/19,,9.20,225.07,24.50,0.96,,
,1919/20,,6.58,131.09,19.90,1.28,,
,1920/21,,7.44,171.04,23.00,0.91,,
,1921/22,,7.07,132.70,18.80,0.50,,
,1922/23,,6.60,152.91,23.20,0.51,,
,1923/24,,7.15,158.99,22.20,0.55,,
,1924/25,,7.04,165.32,23.50,0.74,,
,1925/26,,8.19,192.47,23.50,0.62,,
,1926/27,8.80,7.92,166.03,21.00,0.57,,
,1927/28,9.51,9.47,239.07,25.30,0.70,,
,1928/29,12.83,12.74,328.35,25.80,0.59,,
,1929/30,14.70,13.56,280.64,20.70,0.60,,
,1930/31,13.58,12.63,301.62,23.90,0.42,,
,1931/32,13.82,11.18,200.28,17.90,0.35,,
,1932/33,14.56,13.21,299.39,22.70,0.23,,
,1933/34,14.20,9.64,152.84,15.90,0.43,,
,1934/35,12.02,6.58,117.39,17.80,0.64,,
,1935/36,13.96,12.44,288.67,23.20,0.38,,
,1936/37,12.84,8.33,147.74,17.70,0.75,,
,1937/38,12.35,9.97,221.89,22.30,0.55,,
,1938/39,12.17,10.61,256.62,24.20,0.38,,
,1939/40,15.51,12.74,278.19,21.80,0.40,,
,1940/41,15.69,13.53,311.28,23.00,0.39,,
,1941/42,15.86,14.28,362.57,25.40,0.55,,
,1942/43,19.69,16.96,429.45,25.30,0.63,,
,1943/44,17.47,14.90,322.91,21.70,1.00,,
,1944/45,14.35,12.30,276.28,22.50,1.01,,
,1945/46,11.75,10.45,266.99,25.50,1.01,,
,1946/47,11.47,10.38,265.06,25.50,1.38,,
,1947/48,11.98,10.96,281.87,25.70,1.73,,
,1948/49,13.06,11.91,315.54,26.50,1.16,,
,1949/50,11.13,9.87,237.07,24.00,1.06,,
,1950/51,13.01,11.16,303.77,27.20,1.19,,
,1951/52,10.79,9.42,257.21,27.30,1.26,,
,1952/53,9.19,8.24,228.17,27.70,1.37,,
,1953/54,9.62,8.68,246.72,28.40,1.17,,
,1954/55,14.74,13.37,379.25,28.40,1.09,,
,1955/56,16.29,14.52,403.07,27.80,0.92,,
,1956/57,14.73,12.85,376.66,29.30,0.99,,
,1957/58,16.40,14.87,442.76,29.80,0.89,,
,1958/59,16.15,14.79,477.37,32.30,0.90,,
,1959/60,16.77,14.87,420.20,28.30,0.86,,
,1960/61,15.53,13.86,429.01,31.00,0.84,,
,1961/62,15.62,12.81,392.44,30.60,0.98,,
,1962/63,14.38,12.21,427.73,35.00,0.92,,
,1963/64,13.45,11.24,392.83,35.00,0.90,,
,1964/65,11.65,10.28,386.06,37.60,0.95,,
,1965/66,10.12,9.17,393.06,42.90,1.02,,
,1966/67,11.18,10.25,392.11,38.30,1.06,,
,1967/68,10.08,9.23,373.75,40.50,1.01,,
,1968/69,10.49,9.73,426.15,43.80,0.92,,
,1969/70,10.29,9.56,427.06,44.70,0.89,,
,1970/71,10.48,9.71,416.09,42.80,0.97,,
,1971/72,11.06,10.10,462.42,45.80,0.99,,
,1972/73,10.57,9.65,421.72,43.70,1.21,,
,1973/74,11.05,10.30,417.43,40.50,2.14,,
,1974/75,8.71,7.93,298.67,37.70,2.81,,
,1975/76,9.37,8.62,379.16,44.00,2.42,0.90,
,1976/77,9.30,8.44,383.01,45.40,2.25,1.22,
,1977/78,10.78,9.73,427.78,44.00,1.78,1.63,
,1978/79,9.99,9.25,454.76,49.20,1.92,1.63,
,1979/80,8.12,7.53,383.20,50.90,2.27,1.71,
,1980/81,8.32,7.26,361.14,49.70,2.79,1.83,
,1981/82,9.62,9.04,473.51,52.40,2.48,1.95,
,1982/83,9.55,9.01,515.94,57.20,2.18,2.08,
,1983/84,10.41,9.72,508.27,52.30,2.47,2.16,
,1984/85,11.93,11.22,598.03,53.30,2.29,2.08,
,1985/86,13.14,11.59,590.21,50.90,1.98,2.08,
,1986/87,13.02,11.97,608.53,50.80,1.61,1.56,
,1987/88,10.93,9.96,521.50,52.40,1.81,1.49,
,1988/89,9.83,7.64,289.99,38.00,2.80,1.44,
,1989/90,9.13,8.31,404.20,48.60,2.42,1.34,
,1990/91,8.22,7.53,422.20,56.10,2.14,1.28,
,1991/92,8.94,8.41,464.33,55.20,2.10,1.32,
,1992/93,7.76,7.29,455.09,62.50,2.04,1.40,
,1993/94,7.79,6.75,398.04,58.90,1.99,1.40,
,1994/95,7.16,6.67,374.86,56.20,2.03,1.54,
,1995/96,6.69,6.28,359.38,57.20,2.89,1.54,
,1996/97,7.09,6.71,392.43,58.50,2.74,1.55,
,1997/98,6.71,6.20,359.88,58.10,2.38,1.57,
,1998/99,6.33,5.85,351.57,60.10,1.98,1.56,
,1999/00,4.98,4.57,272.00,59.50,2.13,1.59,
,2000/01,5.80,5.20,317.80,61.10,2.11,1.62,
,2001/02,4.95,4.27,248.33,58.10,2.22,1.65,
,2002/03,5.01,4.12,226.91,55.00,2.72,1.88,
,2003/04,5.35,4.73,278.28,58.90,2.83,1.88,
,2004/05,4.53,4.02,279.74,69.60,2.48,1.85,
,2005/06,3.88,3.27,211.90,64.80,2.53,1.85,
,2006/07,3.45,2.95,180.17,61.10,2.85,1.85,
