Year,Country,Imports
1960,China,595
1960,China,929
1962,China,48
1963,China,450
1964,China,154
1965,China,31
1966,China,1
1967,China,0
1968,China,0
1969,China,1
1970,China,0
1971,China,413
1972,China,0
1973,China,0
1974,China,0
1975,China,0
1976,China,0
1977,China,0
1978,China,40
1979,China,66
1980,China,79
1981,China,155
1982,China,107
1983,China,100
1984,China,40
1985,China,325
1986,China,518
1987,China,332
1988,China,256
1989,China,581
1990,China,915
1991,China,1009
1992,China,647
1993,China,1318
1994,China,1365
1995,China,1399
1996,China,2036
1997,China,1176
1998,China,1955
1999,China,2244
2000,China,2305
2001,China,1913
2002,China,1792
2003,China,1519
2004,China,2049
2005,China,2217
2006,China,1127
2007,China,1091
2008,China,1551
2009,China,2341
2010,China,1656
2011,China,2541
2012,China,2183
2013,China,4891
2014,China,9859
2015,China,5869
2016,China,8104
2017,China,8144
2018,China,5181
2019,China,5969
2020,China,12049
2021,China,8282
2022,China,8582
2023,China,8700
1960,Saudi Arabia,39
1960,Saudi Arabia,16
1962,Saudi Arabia,54
1963,Saudi Arabia,25
1964,Saudi Arabia,20
1965,Saudi Arabia,10
1966,Saudi Arabia,40
1967,Saudi Arabia,58
1968,Saudi Arabia,14
1969,Saudi Arabia,8
1970,Saudi Arabia,25
1971,Saudi Arabia,37
1972,Saudi Arabia,45
1973,Saudi Arabia,25
1974,Saudi Arabia,12
1975,Saudi Arabia,21
1976,Saudi Arabia,95
1977,Saudi Arabia,70
1978,Saudi Arabia,421
1979,Saudi Arabia,1020
1980,Saudi Arabia,1775
1981,Saudi Arabia,3325
1982,Saudi Arabia,2270
1983,Saudi Arabia,5100
1984,Saudi Arabia,4700
1985,Saudi Arabia,6625
1986,Saudi Arabia,8957
1987,Saudi Arabia,4899
1988,Saudi Arabia,4714
1989,Saudi Arabia,4162
1990,Saudi Arabia,4367
1991,Saudi Arabia,6590
1992,Saudi Arabia,3431
1993,Saudi Arabia,4308
1994,Saudi Arabia,4235
1995,Saudi Arabia,3876
1996,Saudi Arabia,5887
1997,Saudi Arabia,4026
1998,Saudi Arabia,6100
1999,Saudi Arabia,5900
2000,Saudi Arabia,5100
2001,Saudi Arabia,6200
2002,Saudi Arabia,7650
2003,Saudi Arabia,5700
2004,Saudi Arabia,6500
2005,Saudi Arabia,7100
2006,Saudi Arabia,6200
2007,Saudi Arabia,8000
2008,Saudi Arabia,7700
2009,Saudi Arabia,7200
2010,Saudi Arabia,6200
2011,Saudi Arabia,8600
2012,Saudi Arabia,10200
2013,Saudi Arabia,8500
2014,Saudi Arabia,8200
2015,Saudi Arabia,10400
2016,Saudi Arabia,8400
2017,Saudi Arabia,7700
2018,Saudi Arabia,5700
2019,Saudi Arabia,7300
2020,Saudi Arabia,6100
2021,Saudi Arabia,4700
2022,Saudi Arabia,3100
2023,Saudi Arabia,3600
1960,European Union,
1960,European Union,
1962,European Union,
