Years,weightedAveragePrice,type
1866,0.95,Barley
1867,1.22,Barley
1868,1.49,Barley
1869,0.87,Barley
1870,0.85,Barley
1871,0.77,Barley
1872,0.74,Barley
1873,0.96,Barley
1874,0.96,Barley
1875,0.86,Barley
1876,0.69,Barley
1877,0.63,Barley
1878,0.58,Barley
1879,0.6,Barley
1880,0.66,Barley
1881,0.82,Barley
1882,0.63,Barley
1883,0.59,Barley
1884,0.48,Barley
1885,0.56,Barley
1886,0.53,Barley
1887,0.52,Barley
1888,0.59,Barley
1889,0.42,Barley
1890,0.62,Barley
1891,0.52,Barley
1892,0.47,Barley
1893,0.4,Barley
1894,0.44,Barley
1895,0.33,Barley
1896,0.3,Barley
1897,0.34,Barley
1898,0.39,Barley
1899,0.39,Barley
1900,0.41,Barley
1901,0.45,Barley
1902,0.45,Barley
1903,0.45,Barley
1904,0.41,Barley
1905,0.39,Barley
1906,0.42,Barley
1907,0.67,Barley
1908,0.57,Barley
1909,0.57,Barley
1910,0.6,Barley
1911,0.81,Barley
1912,0.51,Barley
1913,0.53,Barley
1914,0.53,Barley
1915,0.51,Barley
1916,0.79,Barley
1917,1.22,Barley
1918,0.96,Barley
1919,1.28,Barley
1920,0.91,Barley
1921,0.5,Barley
1922,0.51,Barley
1923,0.55,Barley
1924,0.74,Barley
1925,0.62,Barley
1926,0.57,Barley
1927,0.7,Barley
1928,0.59,Barley
1929,0.6,Barley
1930,0.42,Barley
1931,0.35,Barley
1932,0.23,Barley
1933,0.43,Barley
1934,0.64,Barley
1935,0.38,Barley
1936,0.75,Barley
1937,0.55,Barley
1938,0.38,Barley
1939,0.4,Barley
1940,0.39,Barley
1941,0.55,Barley
1942,0.63,Barley
1943,1,Barley
1944,1.01,Barley
1945,1.01,Barley
1946,1.38,Barley
1947,1.73,Barley
1948,1.16,Barley
1949,1.06,Barley
1950,1.19,Barley
1951,1.26,Barley
1952,1.37,Barley
1953,1.17,Barley
1954,1.09,Barley
1955,0.92,Barley
1956,0.99,Barley
1957,0.89,Barley
1958,0.9,Barley
1959,0.86,Barley
1960,0.84,Barley
1961,0.98,Barley
1962,0.92,Barley
1963,0.9,Barley
1964,0.95,Barley
1965,1.02,Barley
1966,1.06,Barley
1967,1.01,Barley
1968,0.92,Barley
1969,0.89,Barley
1970,0.97,Barley
1971,0.99,Barley
1972,1.21,Barley
1973,2.14,Barley
1974,2.81,Barley
1975,2.42,Barley
1976,2.25,Barley
1977,1.78,Barley
1978,1.92,Barley
1979,2.27,Barley
1980,2.79,Barley
1981,2.48,Barley
1982,2.18,Barley
1983,2.47,Barley
1984,2.29,Barley
1985,1.98,Barley
1986,1.61,Barley
1987,1.81,Barley
1988,2.8,Barley
1989,2.42,Barley
1990,2.14,Barley
1991,2.1,Barley
1992,2.04,Barley
1993,1.99,Barley
1994,2.03,Barley
1995,2.89,Barley
1996,2.74,Barley
1997,2.38,Barley
1998,1.98,Barley
1999,2.13,Barley
2000,2.11,Barley
2001,2.22,Barley
2002,2.72,Barley
2003,2.83,Barley
2004,2.48,Barley
2005,2.53,Barley
2006,2.85,Barley
2007,4.02,Barley
2008,5.37,Barley
2009,4.66,Barley
2010,3.86,Barley
2011,5.35,Barley
2012,6.43,Barley
2013,6.06,Barley
2014,5.3,Barley
2015,5.52,Barley
2016,4.96,Barley
2017,4.47,Barley
2018,4.62,Barley
2019,4.69,Barley
